ID;SETOR;STATUS;DESCRICAO;EMBALAGEM;QTDE_IDEAL;DATA_ULT_ENTR;QTDE_ULT_ENTR;ESTOQ_EMB1;CUSTO;PRECO_VENDA;QTDE_VENDIDA;TP_ETIQ
41292;001-LEITE LONGA VIDA/BEB LACTEA;ATIVO;ALIM.ADES ORIGINAL CAL.TP;CXA;135;2023-03-01;10;5;45.35;53.89;4;C
69489;001-LEITE LONGA VIDA/BEB LACTEA;ATIVO;BEB.CASTANHA ATDC CHOCONUTS;CXA;85;2023-02-24;1;0;174.33;214.8;1;C
69488;001-LEITE LONGA VIDA/BEB LACTEA;ATIVO;BEB.CASTANHA ATDC ORIGINAL;CXA;85;2023-02-17;1;1;166.99;226.8;3;C
71796;001-LEITE LONGA VIDA/BEB LACTEA;ATIVO;BEB.LACTEA 3CORACOES CAPPUCINO;CXA;396;2023-03-08;6;18;25.23;33;26;C
75262;001-LEITE LONGA VIDA/BEB LACTEA;INATIVO;BEB.LACTEA 3CORACOES PINGADO;CXA;396;2023-03-02;4;4;35.14;41.34;3;C
75264;001-LEITE LONGA VIDA/BEB LACTEA;ATIVO;BEB.LACTEA 3CORACOES POWER WHEY;CXA;396;2023-03-14;10;15;51.29;59.4;11;C
58738;001-LEITE LONGA VIDA/BEB LACTEA;ATIVO;BEB.LACTEA BETANIA FARINHA LACTEA;CXA;120;2023-03-09;5;3;74.51;82.68;1;C
12666;001-LEITE LONGA VIDA/BEB LACTEA;ATIVO;BEB.LACTEA BOA VIDA CHOCOLATE TP;CXA;75;2023-03-21;75;181;46.19;50.16;216;C
53583;001-LEITE LONGA VIDA/BEB LACTEA;ATIVO;BEB.LACTEA ITALAC CHOC.ZERO LACT.;CXA;85;2023-03-17;2;0;72.11;79.2;6;X
56123;001-LEITE LONGA VIDA/BEB LACTEA;ATIVO;BEB.LACTEA ITALAC CHOCOLATE C/TAMPA;CXA;85;2023-03-03;169;107;61.63;70.68;99;C
23424;001-LEITE LONGA VIDA/BEB LACTEA;ATIVO;BEB.LACTEA ITALAC CHOCOLATE TP;CXA;180;2023-03-03;360;53;25.04;28.56;837;C
72758;001-LEITE LONGA VIDA/BEB LACTEA;ATIVO;BEB.LACTEA ITALAC MORANGO TP;CXA;180;2023-03-17;60;26;25.04;28.56;133;C
72853;001-LEITE LONGA VIDA/BEB LACTEA;ATIVO;BEB.LACTEA ITALAC VITAMINA TP;CXA;180;2023-03-03;60;12;25.04;28.56;68;C
52533;001-LEITE LONGA VIDA/BEB LACTEA;ATIVO;BEB.LACTEA MARAJOARA CHOKINHO;CXA;85;2023-01-05;17;1;50.19;59.88;3;C
65127;001-LEITE LONGA VIDA/BEB LACTEA;ATIVO;BEB.LACTEA MOCOQUINHA CHOCOLATE TP;BDJ;180;2023-03-09;180;667;25.86;26.73;195;C
26318;001-LEITE LONGA VIDA/BEB LACTEA;INATIVO;BEB.LACTEA PIRAKIDS CHOCOLATE TP;CXA;180;2022-12-07;360;201;31.73;37.53;59;C
14595;001-LEITE LONGA VIDA/BEB LACTEA;ATIVO;BEB.LACTEA TODDYNHO CHOCOLATE;BDJ;165;2023-01-21;990;422;59.26;52.65;307;C
67148;001-LEITE LONGA VIDA/BEB LACTEA;ATIVO;BEB.LACTEA TODDYNHO LEVINHO;CXA;165;2023-03-04;165;136;59.26;52.65;31;C
64905;001-LEITE LONGA VIDA/BEB LACTEA;ATIVO;BEB.LACTEA YOPRO BANANA;CXA;136;2023-03-14;1;2;187.95;227.76;2;C
70055;001-LEITE LONGA VIDA/BEB LACTEA;ATIVO;BEB.LACTEA YOPRO CHOC 25G;CXA;136;2023-03-17;2;1;247.32;287.76;2;C
64904;001-LEITE LONGA VIDA/BEB LACTEA;ATIVO;BEB.LACTEA YOPRO CHOC.;CXA;136;2023-03-17;3;2;187.99;230.16;3;C
64903;001-LEITE LONGA VIDA/BEB LACTEA;ATIVO;BEB.LACTEA YOPRO COCO BATATA DOCE;CXA;136;2023-03-14;2;4;187.95;227.76;1;C
74687;001-LEITE LONGA VIDA/BEB LACTEA;ATIVO;BEB.LACTEA YOPRO MORANGO;CXA;136;2023-03-14;1;0;187.95;227.76;2;C
72419;001-LEITE LONGA VIDA/BEB LACTEA;ATIVO;BEB.MAGUARY FRUIT SHOOT CHOC;FDO;162;2023-02-14;5;0;42.9;53.73;3;C
66869;001-LEITE LONGA VIDA/BEB LACTEA;ATIVO;BEB.VEG.SILK AMENDOAS C/ACUCAR;CXA;170;2023-03-11;1;0;173.54;226.8;0;C
66868;001-LEITE LONGA VIDA/BEB LACTEA;ATIVO;BEB.VEG.SILK AMENDOAS E CACAU;CXA;170;2023-03-25;1;1;173.54;226.8;0;C
66897;001-LEITE LONGA VIDA/BEB LACTEA;ATIVO;BEBIDA LACTEA CILPINHO CHOCOLATE TP;CXA;165;2023-03-09;195;222;28.98;33.75;53;C
78413;001-LEITE LONGA VIDA/BEB LACTEA;INATIVO;BISC.LACTA WAFER BISAO LEITE;CXA;90;2023-02-02;27;28;282.6;386.1;11;C
32985;001-LEITE LONGA VIDA/BEB LACTEA;ATIVO;LEITE L.VIDA BETANIA DESNATADO;CXA;90;2023-03-01;90;56;54.33;58.2;34;C
